english	preferred_zh	en_forms	zh_variants	sense	distinction	evidence	status
complexity	复杂性	complexity|complexities	复杂性|复杂度	使软件难以理解和修改的复杂性	不是算法时间复杂度	docs/en/ch02.md:3; docs/ch02.md:3; docs/README.md:56	确认；沿用
dependency	依赖性／依赖关系	dependency|dependencies	依赖性|依赖关系|依赖项	设计中的相互依赖；具体关系用依赖关系	不机械改成包管理依赖项	docs/en/ch02.md:19; docs/ch02.md:69	确认；按语境
obscurity	模糊性	obscurity|obscurities	模糊性|晦涩性	读者无法看出所需的重要信息	不等于程序行为不确定	docs/en/ch18.md:3; docs/ch18.md:3	确认；沿用
change amplification	变更放大	change amplification	变更放大	一次需求变更迫使多处代码修改	不是变更的业务影响	docs/en/ch02.md:19; docs/ch02.md:69	确认；沿用
cognitive load	认知负荷	cognitive load	认知负荷|认知负担	完成任务需要掌握的信息量	不是代码行数	docs/en/ch06.md:41; docs/ch06.md:39	确认；沿用
unknown unknowns	未知的未知	unknown unknowns	未知的未知	不知道自己尚不知道的必要信息	保留本书命名	docs/en/ch02.md:19; docs/ch02.md:69	确认；沿用
modular design	模块化设计	modular design	模块化设计	让开发人员只面对局部复杂性	不声称模块完全独立	docs/en/ch01.md:12; docs/ch01.md:11	确认；沿用
abstraction	抽象	abstraction|abstractions	抽象	保留重要信息并隐藏不重要细节	不是省略所有细节	docs/en/ch13.md:7; docs/ch13.md:7	确认；沿用
deep module/class	深模块／深类	deep module|deep modules|deep class|deep classes|deeper class|deeper classes	深模块|深类|深的模块|深的类|更深的类|深层模块|深层类	接口简单且封装较多功能	与软件层级layer/level不同	docs/en/ch04.md:21; docs/ch04.md:119	确认；沿用
shallow module/class	浅模块／浅类	shallow module|shallow modules|shallow class|shallow classes	浅模块|浅类|浅的模块|浅的类|浅层模块|浅层类	接口复杂度接近实现复杂度	不是层级较低	docs/en/ch05.md:25; docs/ch05.md:115	确认；沿用
information hiding	信息隐藏	information hiding	信息隐藏|信息隐蔽	在模块内部封装设计知识	不是安全加密	docs/en/ch05.md:25; docs/ch05.md:115	确认；沿用
information leakage	信息泄露	information leakage	信息泄露|信息泄漏	同一设计决策出现在多个模块	不是隐私或内存泄漏	docs/en/ch06.md:43; docs/ch06.md:41	确认；沿用
general-purpose	通用	general-purpose	通用|通用用途	接口适用于多种用途	并非预先实现所有未来功能	docs/en/ch06.md:17; docs/ch06.md:17	确认；沿用
special-purpose	专用	special-purpose	专用|特殊用途|专门	针对特定用途的设计	不译为专业	docs/en/ch06.md:7; docs/ch06.md:7	确认；统一语境
specialization	专用化	specialization|specializations|over-specialization	专用化|专业化	针对特定用途收窄设计	不是职业专业化；不泛化为模板特化	docs/en/ch06.md:41; docs/ch06.md:39	确认；修正专业化
generality	通用性	generality	通用性|通用化	设计能够适用于多种用途的性质	过程可说通用化；保留性质与过程区别	docs/en/ch06.md:3; docs/ch06.md:3	确认；按语境
special case	特殊情况	special case|special cases|special-case	特殊情况|特殊情形	需要额外分支处理的情况	不与所有异常等同	docs/en/ch06.md:153; docs/ch06.md:151	确认；沿用
edge case/condition	边界情况	edge case|edge cases|edge condition|edge conditions	边界情况|边界条件	正常处理范围边缘的情况	不是所有罕见情况	docs/en/ch06.md:153; docs/ch06.md:151	确认；按语境
interface	接口	interface|interfaces	接口	模块对使用者暴露的约定	既有正式声明也有行为约定；不是仅Java interface	docs/en/ch04.md:21; docs/ch04.md:119	确认；沿用
implementation	实现	implementation|implementations	实现	模块内部实现细节	achieve表示达到目标时不得硬译实现／实作	docs/en/ch04.md:21; docs/ch04.md:119	确认；按语境
method	方法	method|methods	方法	类的方法	普通英语method也可指做法；不能由中文词频推断技术义	docs/en/ch01.md:38; docs/ch01.md:37	确认；按语境
function	函数	function|functions	函数|功能	可调用的程序单元	用户界面functions可表示功能；不能全局替换	docs/en/ch01.md:38; docs/ch01.md:37; docs/en/ch06.md:73	确认；按语境
bug	缺陷／代码缺陷	bug|bugs	代码缺陷|缺陷	程序缺陷	书籍bugs可译错误或勘误；与error区分	docs/en/preface.md:23; docs/preface.md:23; docs/README.md:53	确认；按语境
error	错误	error|errors	错误	操作的错误条件或错误结果	不是所有bug或exception	docs/en/ch10.md:25; docs/ch10.md:164	确认；沿用
exception	异常	exception|exceptions	异常	程序异常及其处理机制	普通every rule has exceptions译例外	docs/en/ch10.md:3; docs/ch10.md:3; docs/en/ch01.md:36	确认；按语境
exception handling	异常处理	exception handling	异常处理	处理异常的代码和策略	不等于检测异常	docs/en/ch10.md:3; docs/ch10.md:3	确认；沿用
mask exceptions	屏蔽异常	mask exceptions|mask them	屏蔽异常|异常屏蔽	在底层处理异常使上层不必处理	不是捕获后无条件丢弃；保留10.9反例	docs/en/ch10.md:25; docs/ch10.md:94; docs/ch10.md:158	确认；保留边界
exception aggregation	异常聚合	exception aggregation|aggregate several special-case handlers	异常聚合|聚合异常	用更通用的处理程序集中处理多种异常	与低层异常屏蔽不同	docs/en/ch10.md:25; docs/ch10.md:106	确认；沿用
handler	处理程序／处理函数	handler|handlers	处理程序|处理函数|异常处理程序	响应事件或处理异常的代码	不是操作系统进程；繁体沿用处理常式	docs/en/ch06.md:113; docs/ch06.md:111; docs/en/ch10.md:25	确认；按语境
pass-through	透传	pass-through	透传|传递变量	只把参数或请求向下一层传递	正常传参并不都是透传	docs/en/ch07.md:24; docs/ch07.md:113; docs/README.md:61	确认；沿用
temporal decomposition	时间顺序分解（简称时间分解）	temporal decomposition	时间顺序分解|时间分解	按运行时步骤而非信息隐藏拆模块	不是时间复杂度；保留全称与简称	docs/en/ch05.md:27; docs/ch05.md:117	确认；沿用
conjoined methods/functions	连体方法／连体函数	conjoined method|conjoined methods|conjoined function|conjoined functions	连体方法|连体函数	必须结合阅读才能理解的方法或函数	不等于所有互相调用的函数	docs/en/ch09.md:41; docs/ch09.md:201	确认；沿用
red flag	危险信号	red flag|red flags	危险信号	提示设计可能存在问题的迹象	不能升级为必然错误	docs/en/ch01.md:34; docs/ch01.md:33	确认；沿用
obvious	易理解／显而易见	obvious|obviousness	易理解|易于理解|明显|显而易见	代码特性与信息可见性按语境区分	things not obvious from code指代码未表达的信息	docs/en/ch13.md:3; docs/ch13.md:3; docs/en/ch18.md:5	确认；修正第13章主题
comments not obvious from code	注释应描述从代码中看不出的信息	things that aren't obvious from the code|things that aren’t obvious from the code|things that are not obvious from the code	代码中难以理解的内容|从代码中看不出的信息	注释补足代码不能直接表达的信息	不是用注释解释难懂代码这一狭义要求	docs/en/ch13.md:3; docs/ch13.md:3; docs/en/summary.md:19	确认；修正
