file	section	en_blocks	zh_blocks	status	en_locations	zh_locations
README.md	intro	1	1	same_count_not_yet_verified	docs/en/README.md:9	docs/README.md:5
preface.md	intro	13	13	same_count_not_yet_verified	docs/en/preface.md:3; docs/en/preface.md:5; docs/en/preface.md:7; docs/en/preface.md:9; docs/en/preface.md:11; docs/en/preface.md:13; docs/en/preface.md:15; docs/en/preface.md:17; docs/en/preface.md:19; docs/en/preface.md:23; docs/en/preface.md:25; docs/en/preface.md:27; docs/en/preface.md:29	docs/preface.md:3; docs/preface.md:5; docs/preface.md:7; docs/preface.md:9; docs/preface.md:11; docs/preface.md:13; docs/preface.md:15; docs/preface.md:17; docs/preface.md:19; docs/preface.md:23; docs/preface.md:25; docs/preface.md:27; docs/preface.md:29
ch01.md	intro	13	12	alignment_required	docs/en/ch01.md:2; docs/en/ch01.md:4; docs/en/ch01.md:6; docs/en/ch01.md:8; docs/en/ch01.md:10; docs/en/ch01.md:12; docs/en/ch01.md:14; docs/en/ch01.md:16; docs/en/ch01.md:18; docs/en/ch01.md:20; docs/en/ch01.md:22; docs/en/ch01.md:24; docs/en/ch01.md:26	docs/ch01.md:3; docs/ch01.md:5; docs/ch01.md:7; docs/ch01.md:9; docs/ch01.md:11; docs/ch01.md:13; docs/ch01.md:15; docs/ch01.md:17; docs/ch01.md:19; docs/ch01.md:21; docs/ch01.md:23; docs/ch01.md:25
ch01.md	1.1	6	6	same_count_not_yet_verified	docs/en/ch01.md:30; docs/en/ch01.md:32; docs/en/ch01.md:34; docs/en/ch01.md:36; docs/en/ch01.md:38; docs/en/ch01.md:40	docs/ch01.md:29; docs/ch01.md:31; docs/ch01.md:33; docs/ch01.md:35; docs/ch01.md:37; docs/ch01.md:39
ch02.md	intro	3	3	same_count_not_yet_verified	docs/en/ch02.md:3; docs/en/ch02.md:5; docs/en/ch02.md:7	docs/ch02.md:3; docs/ch02.md:5; docs/ch02.md:7
ch02.md	2.1	0	6	no_english		docs/ch02.md:11; docs/ch02.md:13; docs/ch02.md:15; docs/ch02.md:17; docs/ch02.md:21; docs/ch02.md:23
ch02.md	2.2	0	8	no_english		docs/ch02.md:27; docs/ch02.md:29; docs/ch02.md:31; docs/ch02.md:33; docs/ch02.md:37; docs/ch02.md:39; docs/ch02.md:41; docs/ch02.md:43
ch02.md	2.3	0	7	no_english		docs/ch02.md:47; docs/ch02.md:49; docs/ch02.md:51; docs/ch02.md:53; docs/ch02.md:55; docs/ch02.md:57; docs/ch02.md:59
ch02.md	2.4	0	2	no_english		docs/ch02.md:63; docs/ch02.md:65
ch02.md	2.5	1	1	same_count_not_yet_verified	docs/en/ch02.md:19	docs/ch02.md:69
ch03.md	intro	1	2	alignment_required	docs/en/ch03.md:3	docs/ch03.md:2; docs/ch03.md:4
ch03.md	3.1	0	6	no_english		docs/ch03.md:8; docs/ch03.md:10; docs/ch03.md:12; docs/ch03.md:14; docs/ch03.md:16; docs/ch03.md:18
ch03.md	3.2	0	4	no_english		docs/ch03.md:22; docs/ch03.md:24; docs/ch03.md:26; docs/ch03.md:28
ch03.md	3.3	0	5	no_english		docs/ch03.md:32; docs/ch03.md:36; docs/ch03.md:38; docs/ch03.md:40; docs/ch03.md:42
ch03.md	3.4	0	8	no_english		docs/ch03.md:46; docs/ch03.md:48; docs/ch03.md:50; docs/ch03.md:52; docs/ch03.md:54; docs/ch03.md:56; docs/ch03.md:58; docs/ch03.md:60
ch03.md	3.5	2	2	same_count_not_yet_verified	docs/en/ch03.md:15; docs/en/ch03.md:17	docs/ch03.md:64; docs/ch03.md:66
ch04.md	intro	1	1	same_count_not_yet_verified	docs/en/ch04.md:3	docs/ch04.md:3
ch04.md	4.1	0	6	no_english		docs/ch04.md:7; docs/ch04.md:9; docs/ch04.md:11; docs/ch04.md:13; docs/ch04.md:15; docs/ch04.md:17
ch04.md	4.2	0	3	no_english		docs/ch04.md:21; docs/ch04.md:23; docs/ch04.md:25
ch04.md	4.3	0	5	no_english		docs/ch04.md:29; docs/ch04.md:31; docs/ch04.md:33; docs/ch04.md:35; docs/ch04.md:37
ch04.md	4.4	0	16	no_english		docs/ch04.md:41; docs/ch04.md:45; docs/ch04.md:47; docs/ch04.md:49; docs/ch04.md:59; docs/ch04.md:61; docs/ch04.md:63; docs/ch04.md:64; docs/ch04.md:65; docs/ch04.md:66; docs/ch04.md:67; docs/ch04.md:68; docs/ch04.md:69; docs/ch04.md:71; docs/ch04.md:73; docs/ch04.md:75
ch04.md	4.5	0	5	no_english		docs/ch04.md:79; docs/ch04.md:81; docs/ch04.md:89; docs/ch04.md:91; docs/ch04.md:93
ch04.md	4.6	0	2	no_english		docs/ch04.md:97; docs/ch04.md:99
ch04.md	4.7	0	4	no_english		docs/ch04.md:103; docs/ch04.md:113; docs/ch04.md:115; docs/ch04.md:117
ch04.md	4.8	2	2	same_count_not_yet_verified	docs/en/ch04.md:21; docs/en/ch04.md:23	docs/ch04.md:121; docs/ch04.md:123
ch05.md	intro	1	1	same_count_not_yet_verified	docs/en/ch05.md:3	docs/ch05.md:3
ch05.md	5.1	0	12	no_english		docs/ch05.md:7; docs/ch05.md:9; docs/ch05.md:11; docs/ch05.md:12; docs/ch05.md:13; docs/ch05.md:14; docs/ch05.md:15; docs/ch05.md:17; docs/ch05.md:19; docs/ch05.md:21; docs/ch05.md:23; docs/ch05.md:25
ch05.md	5.2	0	4	no_english		docs/ch05.md:29; docs/ch05.md:31; docs/ch05.md:33; docs/ch05.md:35
ch05.md	5.3	0	4	no_english		docs/ch05.md:39; docs/ch05.md:41; docs/ch05.md:43; docs/ch05.md:45
ch05.md	5.4	0	3	no_english		docs/ch05.md:49; docs/ch05.md:51; docs/ch05.md:55
ch05.md	5.5	0	4	no_english		docs/ch05.md:59; docs/ch05.md:61; docs/ch05.md:63; docs/ch05.md:65
ch05.md	5.6	0	6	no_english		docs/ch05.md:69; docs/ch05.md:71; docs/ch05.md:73; docs/ch05.md:81; docs/ch05.md:83; docs/ch05.md:91
ch05.md	5.7	0	5	no_english		docs/ch05.md:95; docs/ch05.md:97; docs/ch05.md:99; docs/ch05.md:101; docs/ch05.md:103
ch05.md	5.8	0	1	no_english		docs/ch05.md:107
ch05.md	5.9	0	1	no_english		docs/ch05.md:111
ch05.md	5.10	3	4	alignment_required	docs/en/ch05.md:25; docs/en/ch05.md:27; docs/en/ch05.md:29	docs/ch05.md:115; docs/ch05.md:117; docs/ch05.md:119; docs/ch05.md:121
ch06.md	intro	3	3	same_count_not_yet_verified	docs/en/ch06.md:3; docs/en/ch06.md:5; docs/en/ch06.md:7	docs/ch06.md:3; docs/ch06.md:5; docs/ch06.md:7
ch06.md	6.1	4	4	same_count_not_yet_verified	docs/en/ch06.md:11; docs/en/ch06.md:13; docs/en/ch06.md:15; docs/en/ch06.md:17	docs/ch06.md:11; docs/ch06.md:13; docs/ch06.md:15; docs/ch06.md:17
ch06.md	6.2	7	6	alignment_required	docs/en/ch06.md:21; docs/en/ch06.md:23; docs/en/ch06.md:25; docs/en/ch06.md:27; docs/en/ch06.md:35; docs/en/ch06.md:41; docs/en/ch06.md:43	docs/ch06.md:21; docs/ch06.md:23; docs/ch06.md:25; docs/ch06.md:33; docs/ch06.md:39; docs/ch06.md:41
ch06.md	6.3	7	7	same_count_not_yet_verified	docs/en/ch06.md:47; docs/en/ch06.md:55; docs/en/ch06.md:61; docs/en/ch06.md:67; docs/en/ch06.md:73; docs/en/ch06.md:75; docs/en/ch06.md:81	docs/ch06.md:45; docs/ch06.md:53; docs/ch06.md:59; docs/ch06.md:65; docs/ch06.md:71; docs/ch06.md:73; docs/ch06.md:79
ch06.md	6.4	2	2	same_count_not_yet_verified	docs/en/ch06.md:85; docs/en/ch06.md:87	docs/ch06.md:83; docs/ch06.md:85
ch06.md	6.5	4	4	same_count_not_yet_verified	docs/en/ch06.md:91; docs/en/ch06.md:93; docs/en/ch06.md:95; docs/en/ch06.md:97	docs/ch06.md:89; docs/ch06.md:91; docs/ch06.md:93; docs/ch06.md:95
ch06.md	6.6	3	3	same_count_not_yet_verified	docs/en/ch06.md:101; docs/en/ch06.md:103; docs/en/ch06.md:105	docs/ch06.md:99; docs/ch06.md:101; docs/ch06.md:103
