candidate	count	files
代码	182	16
设计	165	19
方法	162	20
可以	116	21
一个	104	21
文本	98	4
重要	85	16
复杂性	83	20
实现	80	16
如果	78	20
系统	72	19
这些	71	17
问题	68	16
使用	67	15
可能	66	14
注释	66	5
通用	65	8
模块	62	14
接口	61	10
例如	58	12
需要	52	16
它们	51	14
功能	50	14
选择	50	7
专用	50	2
简单	49	15
开发人员	48	14
操作	48	7
应该	46	10
方式	45	12
软件设计	44	12
信息	43	9
必须	41	14
如何	40	18
讨论	40	19
但是	39	12
一种	37	13
本书	36	7
一些	36	18
提供	36	13
情况	36	14
理解	34	10
时间	34	13
所有	33	14
没有	33	10
事情	33	8
这种	33	8
编写	32	13
通过	31	11
他们	31	10
软件	30	11
处理	30	8
用户界面	30	2
撤消	30	1
请参阅	30	1
每个	29	9
其他	29	11
导致	29	11
以及	28	10
不同	28	14
进行	28	11
过程	27	11
什么	27	9
删除	27	3
描述	26	12
许多	26	11
了解	25	13
是否	25	12
原则	24	10
任何	24	10
不是	24	15
阅读	24	9
名称	24	6
我们	23	7
层级	23	8
抽象	23	10
那么	23	12
易理解	23	9
文档	23	8
并且	22	11
这个	22	7
产生	22	15
考虑	22	9
容易	22	13
本章	22	15
对于	22	7
然后	21	12
工作	21	10
更好	21	10
知道	21	8
因此	21	10
函数	20	5
尝试	20	9
软件系统	19	13
想法	19	9
特定	19	8
学生	19	2
修改	19	9
创建	19	10
之一	19	13
组件	19	2
字符	19	3
位置	19	1
解决	18	10
最好	18	8
用于	18	5
相关	18	8
调用	18	6
就是	17	10
减少	17	11
错误	17	9
文件	17	5
确定	17	7
行为	17	12
具有	17	7
特殊情况	17	5
插入	17	3
危险信号	16	7
存在	16	8
之间	16	8
发现	16	9
之前	16	6
增加	16	11
消除	16	5
这样	16	12
用户	16	7
几乎	15	8
编辑器	15	3
足够	15	11
异常	15	4
经验	14	7
降低	14	10
读者	14	3
示例	14	7
重做	14	1
额外	14	8
设备	14	3
地方	14	7
关于	13	9
已经	13	7
变得	13	9
认为	13	8
难以	13	8
技术	13	8
假设	13	7
项目	13	4
建议	13	6
看到	13	8
获得	13	8
思考	13	9
花费	13	8
最佳	13	9
当前	13	6
机制	13	1
通常	13	8
变量	13	4
细分	13	1
复杂	12	7
课程	12	2
有关	12	5
开发	12	7
自己	12	7
意味着	12	8
随着	12	7
定义	12	8
其中	12	9
因为	12	8
高层	12	5
分开	12	4
隐藏	12	5
来说	12	7
影响	12	8
管理	11	5
识别	11	7
软件开发	11	9
部分	11	6
程序员	11	3
找到	11	9
决定	11	6
改进	11	6
大量	11	7
出现	11	6
思想	11	6
而且	11	8
构建	11	5
还是	11	6
能够	11	7
总是	11	8
开始	11	8
数量	11	6
目标	11	7
正确	11	8
投资	11	6
对象	11	3
单个	11	4
列表	11	1
或者	11	6
应用	10	6
无法	10	7
原因	10	8
最终	10	7
多个	10	6
简化	10	5
需求	10	4
整体	10	7
更改	10	4
发生	10	8
章节	10	8
元素	10	5
执行	10	6
良好	10	7
应用程序	10	3
支持	10	2
一起	10	3
退格	10	2
光标	10	1
添加	10	4
无需	10	5
例子	10	3
结构	10	5
以便	9	6
针对	9	4
分解	9	5
此外	9	6
学习	9	7
概念	9	6
操作系统	9	5
东西	9	5
包含	9	5
不会	9	5
阶段	9	4
适用	9	5
主要	9	6
为什么	9	6
规则	9	4
几个	9	5
专用化	9	1
分离	9	3
即使	9	6
尽可能	9	5
为了	9	8
性能	9	3
基本	8	7
完成	8	6
提出	8	6
编程	8	4
讲授	8	2
技能	8	4
能力	8	5
基于	8	6
团队	8	4
很多	8	7
包括	8	6
反映	8	5
实际上	8	6
语言	8	3
细节	8	5
整个	8	5
增量	8	4
两个	8	7
一旦	8	7
更加	8	6
相反	8	5
真正	8	5
参数	8	3
类型	8	2
比如	7	6
介绍	7	6
大型	7	7
价值	7	3
大多数	7	6
结果	7	5
比较	7	3
一点	7	5
以下	7	4
不要	7	7
因素	7	4
初始	7	3
明显	7	6
作为	7	4
正在	7	5
方案	7	2
一段	7	3
第一次	7	4
清晰	7	5
过于	7	4
其余部分	7	5
之后	7	5
给定	7	3
不仅	7	6
该类	7	4
多种	7	3
撤销	7	1
传递	7	4
易于	7	4
范围	7	5
有时	7	3
驱动程序	7	3
组合	7	3
可能性	7	4
设计两次	7	3
强调	7	2
首先	6	6
哲学	6	6
程序	6	2
核心	6	2
仍然	6	5
表明	6	5
类似	6	5
关系	6	5
每种	6	5
不必	6	6
诸如	6	4
最大	6	4
越来越	6	4
不断	6	4
从而	6	3
努力	6	6
一致	6	3
第二种	6	4
立即	6	3
使得	6	6
原始	6	3
每次	6	5
重新	6	4
改善	6	6
详细	6	3
看起来	6	4
注意	6	4
某些	6	3
模糊性	6	4
思维	6	5
轻松	6	4
与其	6	5
起来	6	4
自动	6	4
有趣	6	4
信息隐藏	6	4
同时	6	5
整洁	6	5
完全	6	4
目的	6	3
区域选择	6	1
字符串	6	2
单独	6	4
关键	6	5
语句	6	3
字节	6	3
表达	6	3
聪明	6	1
单词	6	2
一致性	6	1
独立	5	5
工具	5	3
程度	5	4
之外	5	5
质量	5	3
优秀	5	4
区分	5	3
代码审查	5	4
来自	5	5
各种	5	3
其他人	5	4
避免	5	3
这里	5	5
缺陷	5	5
未来	5	3
特别	5	4
说明	5	4
代替	5	4
代码缺陷	5	4
生命周期	5	2
困难	5	4
帮助	5	5
模型	5	1
作用	5	2
设计师	5	4
得到	5	4
始终	5	2
不必要	5	3
备选	5	2
遇到	5	5
内容	5	5
特性	5	3
根据	5	5
做出	5	5
看看	5	5
认知负荷	5	3
甚至	5	3
运行	5	4
解决方案	5	4
对系统	5	4
常见	5	4
检查	5	3
更深	5	4
信息泄露	5	4
带来	5	4
好处	5	4
用途	5	1
前面	5	4
另一方面	5	5
满足	5	2
文本编辑器	5	2
允许	5	3
意义	5	2
引入	5	4
一部分	5	3
条目	5	1
分组	5	1
类别	5	2
策略	5	2
做到	5	4
长度	5	2
调用者	5	4
经常	5	5
重复	5	3
选取	5	2
相对	4	4
涉及	4	3
一系列	4	4
很少	4	4
计算机科学	4	2
面向对象	4	2
技巧	4	3
现在	4	3
通过定义来规避错误	4	4
后续	4	4
三个	4	2
交互式	4	2
提取	4	3
编码	4	3
希望	4	2
成为	4	4
